abbr,CityItr,LABEL
CAMT,"剑桥（Cambridge）的原意是指“剑河上的桥”。剑河（River Cam）是当地一条环城河流，这条曲折蜿蜒的小河，两岸杨柳垂丝、芳草萋萋，河上架设着许多设计精巧、造型美观的桥梁，其中以数学桥、格蕾桥和叹息桥最为著名。徜徉在剑河岸边，历史悠久的百年学府和经典建筑俯仰皆是，高大精美的校舍、庄严肃穆的教堂和爬满青藤的红砖住宅矗立在满城的绿树红花间，翠色葱茏，古意盎然。剑桥以其卓越的自然科学成就闻名于世，与近邻牛津一样，是世界上最好的大学城之一。但与被称作“大学中有城市”的牛津不同，剑桥是“城市中有大学”，这里虽然充溢着浓厚的学术气息，但依然是一座商业繁华、生活节奏明快和现代化的城市。
剑桥
剑桥
暮春是剑桥最美的季节。路旁是一排排苍翠撩云的大树和一树树白色、淡紫色的樱花。在阳光的拂照下，显得生机勃勃。各个学院和住宅门前的草地上，紫红的、粉红的玫瑰，鹅黄色的旱水仙，路灯柱上，住宅阳台上挂着、摆着鲜花盛开的花盆。真是繁花似锦，赏心悦目。
然而，最使人留连却步的还是那满城的绿色。青葱的草地几乎铺满了这座小城除了街道以外的一切空地。那一栋栋高大的校舍、教堂的尖顶和一所所爬满青藤的红砖住宅就在这一片绿色之中。剑河边上，垂柳成荫，丛林拥翠，衬托着剑河的一泓碧水，整个剑桥就像一片绿色的海洋，绿意葱茏，令人心醉。
剑河（River Cam）
美丽的剑河是剑桥的象征，在过去很长一段时期里剑河被当地人称作River Granta和River Cam，指的其实是同一条河流，前者特指剑桥市至格兰切斯特庄园（Grantchester）一段，即河的上游，这段河流曲折，岸边风景自然淳朴；后者为河的下游，河面较为宽阔，水流平缓，岸边尽是剑桥大学校园的华丽建筑，即后园景观（the College Backs），所以在当地租船漂流时，船主会问“Granta or Colleges?”。来剑桥一定要撑篙游览，漂流于剑河之上饱览两岸风光，详情请参见“剑河撑篙”。",CityIntroduction
OXFT,"
牛津是一座什么样的城市？首先，牛津和牛津大学一样一定是一所历史悠久的城市……牛津从7世纪起便有人居住。9世纪建立的，距今有1100多年历史的牛津城是英国皇族和学者的摇篮。今遍布城市各个角落的商业企业，特别是高科技企业，又使牛津这座古老的城市焕发了青春的活力。而以牛津这座城市息息相关的高等学府――牛津大学也和这座城市一样古老，牛津大学的具体建校时间已不可考，但有档案明确记载的最早的授课时间为1096年，之后在1167年因得到了英国皇室的大力支持而快速发展。牛津大学是英语世界中最古老的大学，也是世界上现存第二古老的高等教育机构。而现今，由一代又一代的年轻人也给这所学校注入了青春的活力……除此以外，牛津绝对是所自由而宜居的城市，温带海洋性气候是全年温和常湿的气候。分布在纬度40到60--65°之间的大陆西岸。学姐有跟我们说过，在牛津生活，不同于在英国的其他地方，牛津由于它平坦的腹地和较为温和的气候，你可以看见暖和的阳光与牛津古罗马建筑相得益彰，“在牛津留学期间，我最快乐的事情就是透过窗口看见英国的阳光。”不仅如此，牛津的地理位置也决定了它的宜居性，牛津位于英国英格兰东南区域，而牛津大学城就在伦敦西北方，位于伦敦的车程，火车一小时，巴士一个半小时。总体来说是非常便利的。那为什么会说牛津是一所自由的城市呢？我想这与牛津大学息息相关。牛津大学的教学理念就是自主教学，牛津给学生提供了最佳的师资和科研后备力量，但也给学生提供了自由而浓厚的学术氛围。学姐说，在牛津，你完全不是在逼自己学习，而是你不由自主就会投身于这样的学习氛围，你会觉得这样去学习是应该的，写论文做研究是家常便饭，在牛津，你所感受到的氛围会让你觉得，学习这件事是手边每个人都在努力去做的。除此之外，牛津也是一座温和与复古相接的城市，它温和在它的美景目不暇接，牛津郊外的苏格兰牧场绝对让你体会到不一般的英伦风，它也复古在它的建筑和历史，牛津的建筑绝对是值得你去亲自看一趟的！并且，牛津的牛津大学与世界大多数大学与众不同的一点在于，学校和城市融为一体，你中有我，我中有你，泰晤士河孕育着这里的学术，蒸蒸而上的明天也是这座城市青春活力的来源……牛津的复古不止来源于历史，也来源于高校的学术……留学牛津的学姐之前在交流中和我们说，在牛津，你感受到的不是这所学校多牛，这座城市多繁荣发达，而是你作为牛津一份子，有一种发自内心的自豪感，这是学校文化底蕴和城市特点带给你的，是那种英伦儒雅风情的自豪感。",CityIntroduction
SADT,"圣安德鲁斯大学位于苏格兰北部的圣安德鲁斯镇内，小镇因埋葬着苏格兰的守护神圣安德鲁而得名。
整个小镇人口较少，仅有约有17000余人，且其中近三分之一为圣安德鲁斯大学的教职员工和学生。小镇的与各大城市都有公路连通。
小镇中心有各类公交车，分别到达学校的学生公寓和邓迪，Leuchars火车站和Fife地区。
小镇的铁路系统服务于1969年停止，乘坐火车需要到最近的Leuchars火车站，从市中心坐公交5-10分钟可到达，到邓迪、爱丁堡和格拉斯哥的火车也很方便。
除此之外，小镇还因“高尔夫的发源地”而闻名于世，不仅因为1754年英国皇家古典高尔夫俱乐部在此成立，还因为高尔夫的四大满贯中最古老的英国公开锦标赛也每年在此举行。
圣安德鲁斯横跨于北海水域的一段坎坷的岬角上。由三座书院和十八所学院组成了四个学部，千余年来，小镇一直是主教和帝王，圣人和烈士，学生和游人的聚集地。小镇三面环海，走到哪里都能闻到大海的气息，吹到温柔的海风，看到湛蓝的海水和那不时在天空掠过的海鸥。圣安德鲁斯古堡（St Andrews Castle）由于经历了长久的风雨，只剩下断壁残垣，地上多是掉落的石块。当地最有特色的建筑应该是那有着将近一千年历史的圣安德鲁斯大教堂（St Andrews Cathedral，它如同一座巨大的牌坊，矗立在海边，脚下满是历史的石块。",CityIntroduction
LSET,"地理位置：伦敦是世界上最充满活力的大都市之一，伦敦政经学院就坐落于伦敦市中心的法律中心Holborn，位于国会大厦旁，介于西区与金融城之间，大英图书馆、伦敦大学议会图书馆近在咫尺，距离该学院不到一英里就是主要的政府、福利、法律、金融和传媒中心所在地-这些机构才是该学院“真正的”研究对象。

设施：

图书馆：图书馆螺旋楼梯图书馆――英国政治经济图书馆，建立于1896年，是全球最大的社会科学类图书馆。始建于1896年，位于昂内尔・罗宾斯楼(Lionel Robbins Building)。作为英国国家级的社科图书馆，其藏书有重要的国内和国际价值。

肖氏图书馆：(Shaw Library)是学院另一间图书馆，提供小说等休闲读物，位于学院老教学楼(Old Building)内，费边窗(Fabian Window)也在这里展示。此外学院的学生也可以使用伦敦大学学其他成员学院的图书馆，以及位于罗素广场伦敦大学议事大楼的额外设施。",CityIntroduction
ICLT,"英国帝国理工学院的校园环境的校园中央有一个女王塔，是英国帝国学院的标志性建筑之一，塔很好，有85米长，是很早之前研究院唯一留下来的建筑物，很有历史。塔里有很多大钟，每天都会在下午敲响，是澳大利亚所送的礼物，有着王室成员的名字所命名。英国帝国理工学院的除了南肯星顿校区所在的中心图书馆外，每个院系都有着自己的额图书馆，其中的科学博物馆是面向所有公众开放的，24小时不间断开放，但是在每周有一定的时间进行关闭，要对里面进行打扫，不会浪费很久时间。

帝国理工学院几个校区和校园环境介绍

英国帝国理工学院的设施服务介绍

英国帝国理工学院的设施其中包括计算机服务中心。计算机服务中心有着pv机组和工作站，他们两个所联合承德网络是一个先进的计算机环境与互联网项链，可以进行办公，或者学习复杂的科学、工程运算、编程等。中心还对此提供服务和免费的资料查询。帝国理工学院的学生可以使用很多的图书馆，图书馆藏书也众多，还有对图书的复印件。各系的图书馆都是针对自己所在的专业所有的研究资料，各自的图书馆负责各自的学科。图书馆的网络与校园网项链，可以拥有最新的电子信息索取技术。",CityIntroduction
DUT,"风景优美的杜伦古城位于英格兰东北部，靠近纽卡斯尔市，由此搭乘火车至曼彻斯特机场及伦敦需3个小时，离纽卡斯尔机场约1小时，另可搭乘飞机前往伦敦及阿姆斯特丹。大学的另一个校园位于离杜伦20英里远的一个较大的集市镇Stockton。从杜伦去英伦各地区十分方便。学生还可乘火车或NationalExpress长途车从伦敦直达杜伦或Stockton。

有人说杜伦大学一直在模仿Oxbridge，确实是有一些，但并不是全部。。的确，和Oxbridge一样，杜伦大学的学院制不是根据文学院、法学院来分的，而是类似哈利波特里Gryffindor、Slytherin这样的学院制，只有一少部分学生会穿长袍。杜伦大学有些学科在全球大学里的排名很靠前，课业可能有些繁重，但也会让学生有时间做自己想做的事儿。

3
杜伦大学校园角落
如果你重视团体活动，能很好地融入所有环境，愿意成为集体的领头羊，社交时总是能够博取所有人的眼球，或者又健谈又善于调节气氛的话，那么Hatfield学院或者Collingwood学院是你的最好选择。



如果你喜欢户外运动、爱喝酒爱社交，但又同时需要很多私人空间的话，这种平衡性往往只有Hild and Bede学院才能给你。



如果你不喜欢太吵闹的场合，愿意多去进行一些有艺术气息的活动，比如去画展去影院去教堂，St John’s学院想必非常适合你。",CityIntroduction
LOUT,"宿舍环境：成一体的拉夫堡大学校园有大量的开阔地带，其中坐落着花园、运动区与教学楼和能容纳5000多名学生的宿舍楼。大多数大学生能够住在大学宿舍至少两年。学校也提供针对研究生的自助和包伙的单间宿舍。拉夫堡大学宿舍具备很好的标准，良好的装备和供暖，而以上所说是按一个合理的收费提供的。

大学

所有宿舍男女生均可获得自。学生可在学校现代化的图书馆使用超过60万册的印刷品资料和其他电子图书资源。计算机设备对全体学生免费开放，全天24小时通过网络系统连接到所有的宿舍。上课期间学校里的医疗中心提供每天24小时的医疗保健服务。

从校园到市中心可以乘班车。校园周围、市区和周围村庄都建有自行车道，许多学生使用自行车代步。拉夫堡大学以体育著称，校园里有大量的体育和健身设施，包括一个具有奥运会标准的游泳池和田径场，还有健身房、体育馆和许多室内羽毛球馆、篮球馆和体操馆，再加上壁球和网球场、全天候草地足球、橄榄球和板球场，能满足开展50多种体育项目活动的需要。

设施：拉夫堡以体育著称，校园里有大量的体育和健身设施，能满足开展50多种体育项目活动的需要。学校拥有一个具备奥运会标准的游泳池和田径场。校园内还有健身房、体育馆、室内羽毛球馆、篮球馆、体操馆、壁球场、网球场、全天候足球场、草地足球场、橄榄球场和板球场。",CityIntroduction
UCLT,"伦敦大学学院的主校区邻近大英博物馆和大英图书馆，坐落于伦敦市中心，也因此使其成为了世界最昂贵的大学之一。往希思罗机场、盖特威克机场只需45分钟。大英博物馆、图书馆、著名的学会组织及主要设施近在几尺。伦敦大学学院图书馆藏书达125万册，计算机中心设备完善。学院语言中心开设一年制英语证书课程、学前及学期中语言课程。

伦敦大学学院(UCL)的主校区邻近大英博物馆和大英图书馆，坐落于伦敦市中心，也因此使其成为了世界最昂贵的大学。UCL在卡塔尔--多哈的校区主要从事考古学及博物馆文物保存研究。UCL在澳大利亚--阿德莱德的校区主要从事能源与环境科学的研究。UCL有欧洲最大的医学研究中心，及生命科学研究所。2009年起， UCL与美国耶鲁大学在医学方向展开深度合作。

3
伦敦大学学院校园角落
学校附近很多的Park，路边的树也很多，到了秋天，落叶能让你感觉自己生活在画里。下雨天，打着雨伞披着雨衣，路上行人匆匆，这种感觉不能再棒了。



学校图书馆有十多个：喜欢复古风格，可以去古罗马穹顶建筑下边的main lib看书学习，这里也是拍《盗梦空间》的地方;搞理工的同僚们为了方便可以呆在我们的sci lib，数学、物理、工程的资料都在这里，lib里暖的让人都昏昏欲睡;喜欢看美女的男同胞可以去SSEES楼下的图书馆，很多欧洲的文科美女，学累了就看会，多么惬意......



学校的图书馆值得去看看哟!每个学院每栋楼里基本都有图书馆，而且都比主图环境好还各有特色。",CityIntroduction
HWT,"华威大学校园环境：

地理位置：华威大学位于英国英格兰中部华威郡和考文垂市的交界处，创立于1965年。华威大学以其高水准的学术研究和教学质量而闻名。

设施：

华威大学有两处主要的图书馆，有将近90万册的藏书和5000多种期刊杂志，可自由借阅。馆内约有2000个座位可供学生学习，微机中心24小时开放。学校每年在图书资料方面支出的经费为每个学生100英镑以上。学校还设有计算机中心、语言中心、当代音乐唱片中心和英国石油档案中心等。

学校有很多计算机，学生可以访问所有包括公寓内的电脑。主机房位于图书馆之下，几乎总是满的。不过还有一些小型的机房在一些不太为人所知的区域，所以你通常能在那里找到空余的机器。

华威大学学生自编报纸，旅游和保险办事处，餐厅，大学艺术中心(剧院、音乐厅、电影院、艺术馆、雕塑馆)。校园内还有书店，酒吧，银行，美容美发厅，邮局，超市等。距离考文垂很近，在那里有游泳馆、剧院、博物馆和艺术馆等。

住宿：学校宿舍位于校园内和校园外2种，并且分为自炊式和包伙食两种。学校56%的在校生和95%的一年级学生在学校住宿，宿舍内有厨房，洗衣机，网络等设施。亦有单人卫浴设施的套间。住宿费用为81-167英镑/周(2015-2016学年)，学生可以根据自己的预算选择不同价位的宿舍。学校保证在规定日期前收到一年级国际学生(非欧盟)的宿舍申请，一定为他们安排校内学生宿舍。",CityIntroduction
LUCT,"兰卡斯特大学 位于英格兰北部的历史名城兰卡斯特市以南3英里，面积达250英亩。从兰卡斯特市乘火车到曼彻斯特只要一个小时，乘火车到利物浦大约一个半小时，往北通往古城爱丁堡，往南至首都伦敦只需三小时。兰卡斯特市公路和铁路交通都非常便利，紧邻闻名世界的湖区。美丽的湖区其实是国家公园，是一个“风光迤俪的自然美景区”。这里的湖区是伦敦之外的英国主要旅游中心，每年吸引大批游人来此参观。

院系设置

艺术和社会科学学院由法学院，应用社会科学，教育研究，英文和创作，欧洲语言和文化，历史，语言学，哲学，政治学，国际关系，宗教研究，社会学，文化研究所，卫生研究，当代艺术(美术，设计，音乐及戏剧研究)和拉斯金中心等部门组成。科学技术学院，由生物科学，通讯系统，计算，工程学，环境科学，地理学，数学和统计，自然科学，物理，卫生与医药学院等组成。|

兰卡斯特管理学院是一个独立的单一学院,由会计及财务，经济学，管理和领导学，管理科学，市场营销和组织，工作和技术研究所的企业精神与企业发展与中心的电子科学，卓越领导，研究的技术与组织，国际研究中心，会计，兰卡斯特中心预报，兰卡斯特战略管理中心，兰卡斯特中国管理中心，兰卡斯特领导力研究中心，绩效导向人力资源中心等部门组成。兰卡美,非常美,这是一个不知 pm2.5为何物的地方,这是一个走到街上到处都有老爷爷老奶奶找你搭话聊天的地方.

兰卡斯特

相比于大城市，兰卡宁静安逸，同时也不失乐趣。兰卡斯特大学(推荐阅读:兰卡斯特大学)在低温物理、传媒上的优势很明显。LUMS教学质量更是全科目的虐杀同级别学校。

但在洪水这种极端情况出现时，显然兰卡完全没有足够的应对能力和准备。",CityIntroduction
