图片,图片1,文本,字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,字段20,字段21,字段22,字段23,字段24,字段25,字段26,字段27,字段28,字段29,字段30,字段31
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDkyOC4xMjUiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSI5MjguMTI1Ij48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMzExQjE1Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/lX8u0Nyaab/crop1-2560x2970.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,I believed it was a place I could meet people and to build networks that would make my dreams come true. I am happy to say I wasn't wrong.," David Izuogu, PhD in Chemistry (Nigeria)
                ",I wanted to get the best education in order to achieve my goals. I found that it's an amazing environment here. It’s warm and welcoming and you feel you can always share thoughts and ideas with fellow scholars.,"Shachar, MPhil in Planning, Growth and Regeneration(Israel)
                ",What advice would you give applicants looking for funding?,"Talk to your potential supervisor about what funding is available for the program, look at different websites, and talk to students who are currently studying a similar subject at Cambridge.","Anna Lena, PhD in Biochemistry(Germany)
                ","Search widely for funding opportunities from the University, Colleges, the government, and even NGOs. Do not neglect any funding as you may be able to combine different partial scholarships. You could also discuss funding opportunities with your potential supervisor.","Camille, PhD in Medical Science @ MRC Epidemiology Unit(Cameroon)
                ","Check for College funding. Different Colleges have various levels of funding which can make a big difference to your experience. There are also certain bodies outside your Department and College that can be useful, like the Philosophical Society, which can give members up to three months funding if you run out!","Thomas, PhD in Materials Science(UK)
                ",What are your top tips for making a successful application?,"Think carefully about how you present yourself. Do your homework on the Department first, proof read your application, and ask others to read through your application as well.","Nabila, PhD in Development Studies(Bangladesh)
                ","
              
              
              
              
              Start planning and searching as early as possible for a course and check to see what the entry requirements are. If you are looking for a research-based course and aren't sure where your interest lies, contact potential supervisors and talk about projects they can offer you. Be confident in the interview and talk to the interviewer naturally.
              
                Jiale, PhD in Physics (China)
                
              
              
              
              
              
              
            ","Jiale, PhD in Physics (China)
                ","Ask people outside of your field to read your research proposal, give your referees plenty of notice to write and submit their references, and don’t wait until the final hour to hit submit in case anything goes wrong – it happened to me!",(Canada),"Claire, PhD in Earth Sciences(Canada)
                ","I think that showing your passion for your subject is more important than your knowledge. Also, be honest and use language that is natural to you in your application.","Liam, PhD in Materials Science and Metallurgy(UK)
                ",What are some of your favourite things about studying at Cambridge?,"I love that you can meet amazing, interesting people from around the world. Plus you can go to formal events in beautiful old halls where you get to dress up and eat great food. Cambridge is also a wonderful pastoral setting with plenty of green spaces and gardens everywhere.","Jenna, PhD in Engineering(USA)
                ",The intercollegiate system is great as it enables you to meet a wide variety of people outside of your field. ,Sports are also extremely accessible at all levels in the University; I think it's a good idea to try something new and out of your comfort zone.,"Terence, MPhil in Management(Malaysia)
                ","The fact that I can work in laboratories with the latest technology, have dinner with traditions that are hundreds of years old and learn from an international community all in the same day.",(Australia),"John, PhD in Paediatrics(Australia)
                "
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDkyOC4xMjUiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSI5MjguMTI1Ij48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMzExQjE1Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/lX8u0Nyaab/crop1-2560x2970.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,"I also wanted to study at Cambridge so I could gain new experiences like College life in a beautiful city, and to be able to explore the other side of the world.",I believed it was a place I could meet people and to build networks that would make my dreams come true. I am happy to say I wasn't wrong.," David Izuogu, PhD in Chemistry (Nigeria)
                ",I wanted to get the best education in order to achieve my goals. I found that it's an amazing environment here. It’s warm and welcoming and you feel you can always share thoughts and ideas with fellow scholars.,"Shachar, MPhil in Planning, Growth and Regeneration(Israel)
                ",What advice would you give applicants looking for funding?,"Talk to your potential supervisor about what funding is available for the program, look at different websites, and talk to students who are currently studying a similar subject at Cambridge.","Anna Lena, PhD in Biochemistry(Germany)
                ","Search widely for funding opportunities from the University, Colleges, the government, and even NGOs. Do not neglect any funding as you may be able to combine different partial scholarships. You could also discuss funding opportunities with your potential supervisor.","Camille, PhD in Medical Science @ MRC Epidemiology Unit(Cameroon)
                ","Check for College funding. Different Colleges have various levels of funding which can make a big difference to your experience. There are also certain bodies outside your Department and College that can be useful, like the Philosophical Society, which can give members up to three months funding if you run out!","Thomas, PhD in Materials Science(UK)
                ",What are your top tips for making a successful application?,"Think carefully about how you present yourself. Do your homework on the Department first, proof read your application, and ask others to read through your application as well.","Nabila, PhD in Development Studies(Bangladesh)
                ","
              
              
              
              
              Start planning and searching as early as possible for a course and check to see what the entry requirements are. If you are looking for a research-based course and aren't sure where your interest lies, contact potential supervisors and talk about projects they can offer you. Be confident in the interview and talk to the interviewer naturally.
              
                Jiale, PhD in Physics (China)
                
              
              
              
              
              
              
            ","Jiale, PhD in Physics (China)
                ","Ask people outside of your field to read your research proposal, give your referees plenty of notice to write and submit their references, and don’t wait until the final hour to hit submit in case anything goes wrong – it happened to me!",(Canada),"Claire, PhD in Earth Sciences(Canada)
                ","I think that showing your passion for your subject is more important than your knowledge. Also, be honest and use language that is natural to you in your application.","Liam, PhD in Materials Science and Metallurgy(UK)
                ",What are some of your favourite things about studying at Cambridge?,"I love that you can meet amazing, interesting people from around the world. Plus you can go to formal events in beautiful old halls where you get to dress up and eat great food. Cambridge is also a wonderful pastoral setting with plenty of green spaces and gardens everywhere.","Jenna, PhD in Engineering(USA)
                ",The intercollegiate system is great as it enables you to meet a wide variety of people outside of your field. ,Sports are also extremely accessible at all levels in the University; I think it's a good idea to try something new and out of your comfort zone.,"Terence, MPhil in Management(Malaysia)
                ","The fact that I can work in laboratories with the latest technology, have dinner with traditions that are hundreds of years old and learn from an international community all in the same day.",(Australia),"John, PhD in Paediatrics(Australia)
                "
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDkyOC4xMjUiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSI5MjguMTI1Ij48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMzExQjE1Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/Ea9FCvTtBj/crop1-2560x2970.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDkyOC4xMjUiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSI5MjguMTI1Ij48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMzExQjE1Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/lBFfYg0fLk/crop1-2560x2970.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDkyOC4xMjUiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSI5MjguMTI1Ij48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMzExQjE1Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/L26miZS2XV/crop1-2560x2970.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDExMDUuNjI1IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iMTEwNS42MjUiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiNFQUU5RjEiPjwvcmVjdD48L3N2Zz4=",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/ovH8KK49RI/crop6-2560x3538.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDk2MS41NjI1IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iOTYxLjU2MjUiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiMwQzBFMDgiPjwvcmVjdD48L3N2Zz4=",,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNzMuNjI4MzE4NTg0MDcwNyIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEyNzMuNjI4MzE4NTg0MDcwNyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iIzJGM0Y3OSI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/SkOTKKhAnE/profile-photo-n-idris-1-2260x3598.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNzMuNjI4MzE4NTg0MDcwNyIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEyNzMuNjI4MzE4NTg0MDcwNyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iIzJGM0Y3OSI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/iOjcoWkaEF/profile-photo-n-idris-1-2260x3598.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNzMuNjI4MzE4NTg0MDcwNyIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEyNzMuNjI4MzE4NTg0MDcwNyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iIzJGM0Y3OSI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/Ybp4kBVDtO/profile-photo-n-idris-1-2260x3598.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNzMuNjI4MzE4NTg0MDcwNyIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEyNzMuNjI4MzE4NTg0MDcwNyI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iIzJGM0Y3OSI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/ESjgrJji1n/profile-photo-n-idris-1-2260x3598.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNTEuMTM3Nzc0MTAwMTI0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iMTI1MS4xMzc3NzQxMDAxMjQiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiMxQzE4MTEiPjwvcmVjdD48L3N2Zz4=",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/m4329lbspb/crop5-2417x3780.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNTEuMTM3Nzc0MTAwMTI0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iMTI1MS4xMzc3NzQxMDAxMjQiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiMxQzE4MTEiPjwvcmVjdD48L3N2Zz4=",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/Uqynn7Q2Ty/crop5-2417x3780.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNTEuMTM3Nzc0MTAwMTI0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iMTI1MS4xMzc3NzQxMDAxMjQiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiMxQzE4MTEiPjwvcmVjdD48L3N2Zz4=",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/R0C0Yo2rO3/crop5-2417x3780.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyNTEuMTM3Nzc0MTAwMTI0IiB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI4MDAiIGhlaWdodD0iMTI1MS4xMzc3NzQxMDAxMjQiPjxyZWN0IHdpZHRoPSIxMDAlIiBoZWlnaHQ9IjEwMCUiIGZpbGw9IiMxQzE4MTEiPjwvcmVjdD48L3N2Zz4=",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/xfrccurKB2/crop5-2417x3780.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEwODcuMTg3NSIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEwODcuMTg3NSI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI0VERTBDOCI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/m4yz866OEv/crop10-2560x3479.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEwODcuMTg3NSIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEwODcuMTg3NSI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI0VERTBDOCI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/ullY28XsK7/crop10-2560x3479.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEwODcuMTg3NSIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEwODcuMTg3NSI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI0VERTBDOCI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/xdhbaLgMMy/crop10-2560x3479.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEwODcuMTg3NSIgeG1sbnM9Imh0dHA6Ly93d3cudzMub3JnLzIwMDAvc3ZnIiB3aWR0aD0iODAwIiBoZWlnaHQ9IjEwODcuMTg3NSI+PHJlY3Qgd2lkdGg9IjEwMCUiIGhlaWdodD0iMTAwJSIgZmlsbD0iI0VERTBDOCI+PC9yZWN0Pjwvc3ZnPg==",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/CC1rN5D5ta/crop10-2560x3479.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSIxMjAwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMTM0OTc2Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/dNe2A8bFr9/crop9-2560x3840.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSIxMjAwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMTM0OTc2Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/5K2wpAaael/crop9-2560x3840.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSIxMjAwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMTM0OTc2Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/e5Fty4mkdS/crop9-2560x3840.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data:image/svg+xml;base64,PHN2ZyB2aWV3Qm94PSIwIDAgODAwIDEyMDAiIHhtbG5zPSJodHRwOi8vd3d3LnczLm9yZy8yMDAwL3N2ZyIgd2lkdGg9IjgwMCIgaGVpZ2h0PSIxMjAwIj48cmVjdCB3aWR0aD0iMTAwJSIgaGVpZ2h0PSIxMDAlIiBmaWxsPSIjMTM0OTc2Ij48L3JlY3Q+PC9zdmc+",https://www.graduate.study.cam.ac.uk/sites/www.2022.postgraduate.study.cam.ac.uk/files/shorthand/32002/lEAzLYBUEG/assets/7FfDFKbfNl/crop9-2560x3840.jpeg,I chose Cambridge for a lot of reasons including the University’s excellent reputation. I chose it for its research facilities and because I was able to do bench-to-bedside research at Addenbrooke's Hospital. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,