major,url,coursedepartment,coursemodeofstudy,education_background
Music (Musicology) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-music-musicology,Faculty of Music,        Full time  ,        9 months  
Music (Performance) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-music-performance,Faculty of Music,        Full time  ,        21 months  
Music (Performance) MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-music-performance,Faculty of Music,        Full time  ,        9 months  
Nanotechnology PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-nanotechnology,Department for Continuing Education,        Part time  ,        10 months  
Nanotechnology for Medicine and Health Care MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-nanotechnology-for-medicine-and-health-care,"Department for Continuing Education, Department of Engineering Science",        Part time  ,        2-4 years  
"Nature, Society and Environmental Governance MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-nature-society-and-environmental-governance,School of Geography and the Environment,        Full time  ,        2 years  
"Nature, Society and Environmental Governance MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-nature-society-and-environmental-governance,School of Geography and the Environment,        Full time  ,        1 year  
Neuroscience combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-neuroscience,"Medical Sciences Doctoral Training Centre, Oxford Neuroscience",        Full time  ,        4 years  
Neuroscience MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-neuroscience,Oxford Neuroscience,        Full time  ,        1 year  
Oncology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-oncology,Department of Oncology,        Full time  ,        3-4 years  
Oncology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-oncology,Department of Oncology,        Full time  ,        1-3 years  
Organic Chemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-organic-chemistry,Department of Chemistry,        Full time  ,        3-4 years  
Organic Chemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-organic-chemistry,Department of Chemistry,        Full time  ,        2-3 years  
Organisational Leadership PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-organisational-leadership,Saïd Business School,        Part time  ,        1 year  
Oriental Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-oriental-studies,Faculty of Oriental Studies,        Full time  ,        3-4 years  
Oriental Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-oriental-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Paediatric Infectious Diseases MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-paediatric-infectious-diseases,"Department for Continuing Education, Department of Paediatrics",        Part time  ,        1 year  
Paediatric Infectious Diseases PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-paediatric-infectious-diseases,"Department for Continuing Education, Department of Paediatrics",        Part time  ,        2 years  
Paediatrics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-paediatrics,Department of Paediatrics,        Full time  ,        3-4 years  
Paediatrics MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-paediatrics,Department of Paediatrics,        Full time  ,        1-3 years  
Particle Physics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-particle-physics,Department of Physics,        Full time  ,        3-4 years  
Patient Safety PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-patient-safety,"Department for Continuing Education, Nuffield Department of Surgical Sciences",        Part time  ,        1-2 years  
PGCE PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgce,Department of Education,        Full time  ,        1 year  
Pharmacology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-pharmacology,Department of Pharmacology,        Full time  ,        3-4 years  
Pharmacology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-pharmacology,Department of Pharmacology,        Full time  ,        1 year  
Pharmacology MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-pharmacology,Department of Pharmacology,        Full time  ,        1-3 years  
Philosophical Theology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-philosophical-theology,Faculty of Theology and Religion,        Full time  ,        21 months  
Philosophical Theology MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-philosophical-theology,Faculty of Theology and Religion,        Full time  ,        9 months  
Philosophy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-philosophy,Faculty of Philosophy,        Full time  ,        3-4 years  
Philosophy BPhil,https://www.ox.ac.uk/admissions/graduate/courses/bphil-philosophy,Faculty of Philosophy,        Full time  ,        21 months  
Philosophy of Physics MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-philosophy-physics,Faculty of Philosophy,        Full time  ,        9 months  
Physical and Theoretical Chemistry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-physical-and-theoretical-chemistry,Department of Chemistry,        Full time  ,        3-4 years  
Physical and Theoretical Chemistry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-physical-and-theoretical-chemistry,Department of Chemistry,        Full time  ,        2-3 years  
"Physiology, Anatomy and Genetics DPhil",https://www.ox.ac.uk/admissions/graduate/courses/dphil-physiology-anatomy-and-genetics,"Department of Physiology, Anatomy & Genetics",        Full time  ,        3-4 years  
"Physiology, Anatomy and Genetics MSc by Research",https://www.ox.ac.uk/admissions/graduate/courses/msc-research-physiology-anatomy-and-genetics,"Department of Physiology, Anatomy & Genetics",        Full time  ,        1-3 years  
Political Theory Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-political-theory-research,Department of Politics and International Relations,        Full time  ,        1 year  
Politics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-politics,Department of Politics and International Relations,        Full time  ,        3-4 years  
Politics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-politics-pt,Department of Politics and International Relations,        Part time  ,        6-8 years  
Politics (Comparative Government) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-comparative-government,Department of Politics and International Relations,        Full time  ,        21 months  
Politics (European Politics and Society) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-european-politics-and-society,Department of Politics and International Relations,        Full time  ,        21 months  
Politics (Political Theory) MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-politics-political-theory,Department of Politics and International Relations,        Full time  ,        21 months  
Politics Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-politics-research,Department of Politics and International Relations,        Full time  ,        1 year  
Population Health DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-population-health,Nuffield Department of Population Health,        Full time  ,        3-4 years  
Population Health DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-population-health-pt,Nuffield Department of Population Health,        Part time  ,        6-8 years  
Practical Ethics MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-practical-ethics,"Department for Continuing Education, Faculty of Philosophy",        Part time  ,        2-3 years  
Precision Cancer Medicine MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-precision-cancer-medicine,Department of Oncology,        Part time  ,        2 years  
Primary Health Care DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-primary-health-care,Nuffield Department of Primary Care Health Sciences,        Full time  ,        3-4 years  
Primary Health Care DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-primary-health-care-pt,Nuffield Department of Primary Care Health Sciences,        Part time  ,        6-8 years  
Psychiatry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-psychiatry,Department of Psychiatry,        Full time  ,        3-4 years  
Psychiatry DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-psychiatry-pt,Department of Psychiatry,        Part time  ,        6-8 years  
Psychiatry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-psychiatry,Department of Psychiatry,        Full time  ,        1-3 years  
Psychiatry MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-psychiatry-pt,Department of Psychiatry,        Part time  ,        2-6 years  
Psychodynamic Counselling PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-psychodynamic-counselling,Department for Continuing Education,        Part time  ,        9 months  
Psychodynamic Practice MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-psychodynamic-practice,Department for Continuing Education,        Part time  ,        1 year  
Psychodynamic Practice PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-psychodynamic-practice,Department for Continuing Education,        Part time  ,        21 months  
Psychological Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-psychological-research,Department of Experimental Psychology,        Full time  ,        1 year  
Public Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-public-policy,Blavatnik School of Government,        Full time  ,        3 years  
Public Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-public-policy-pt,Blavatnik School of Government,        Part time  ,        6-8 years  
Public Policy 1+1 (MPP + MSc),https://www.ox.ac.uk/admissions/graduate/courses/public-policy-1plus1-programme,Blavatnik School of Government,        Full time  ,        2 years  
Public Policy MPP,https://www.ox.ac.uk/admissions/graduate/courses/master-public-policy,Blavatnik School of Government,        Full time  ,        1 year  
Public Policy Research MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-public-policy-research,Blavatnik School of Government,        Full time  ,        1 year  
Qualitative Health Research Methods PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-qualitative-health-research-methods,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        1-2 years  
Radiation Biology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-radiation-biology,Department of Oncology,        Full time  ,        1 year  
Refugee and Forced Migration Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-refugee-and-forced-migration-studies,Department of International Development,        Full time  ,        9 months  
Russian and East European Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-russian-and-east-european-studies,Oxford School of Global and Area Studies,        Full time  ,        21 months  
Russian and East European Studies MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-russian-and-east-european-studies,Oxford School of Global and Area Studies,        Full time  ,        9 months  
Slavonic Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-slavonic-studies,Faculty of Medieval and Modern Languages,        Full time  ,        21 months  
Slavonic Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-slavonic-studies,Faculty of Medieval and Modern Languages,        Full time  ,        9 months  
Sleep Medicine MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-sleep-medicine,Nuffield Department of Clinical Neurosciences,        Part time  ,        2 years  
Sleep Medicine PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-sleep-medicine,Nuffield Department of Clinical Neurosciences,        Part time  ,        2 years  
Social Anthropology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-social-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        21 months  
Social Anthropology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        1 year  
Social Data Science combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-data-science-combined,Oxford Internet Institute,        Full time  ,        10 months + 3-4 years  
Social Data Science combined MSc and DPhil,https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-data-science-combined-pt,Oxford Internet Institute,        Mixed  ,        10 months + 6-8 years  
Social Data Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-data-science,Oxford Internet Institute,        Full time  ,        3-4 years  
Social Data Science DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-data-science-pt,Oxford Internet Institute,        Part time  ,        6-8 years  
Social Data Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-data-science,Oxford Internet Institute,        Full time  ,        10 months  
Social Intervention and Policy Evaluation DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-intervention,Department of Social Policy and Intervention,        Full time  ,        3-4 years  
Social Intervention and Policy Evaluation DPhil ,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-intervention-pt,Department of Social Policy and Intervention,        Part time  ,        6-8 years  
Social Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-policy,Department of Social Policy and Intervention,        Full time  ,        3-4 years  
Social Policy DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-social-policy-pt,Department of Social Policy and Intervention,        Part time  ,        6-8 years  
Social Science of the Internet MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-science-internet,Oxford Internet Institute,        Full time  ,        10 months  
Social Science of the Internet MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-social-science-internet-pt,Oxford Internet Institute,        Part time  ,        22 months  
"Social Science of the Internet + Information, Communication and the Social Sciences combined MSc and DPhil",https://www.ox.ac.uk/admissions/graduate/courses/msc-dphil-social-science-internet-combined,Oxford Internet Institute,        Full time  ,        10 months + 3-4 years  
Socio-Legal Research MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-socio-legal-research,"Faculty of Law, Centre for Socio-Legal Studies",        Full time  ,        1 year  
Socio-Legal Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-socio-legal-studies,"Faculty of Law, Centre for Socio-Legal Studies",        Full time  ,        3-4 years  
Socio-Legal Studies DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-socio-legal-studies-pt,"Faculty of Law, Centre for Socio-Legal Studies",        Part time  ,        6-8 years  
Sociology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-sociology,Department of Sociology,        Full time  ,        3-4 years  
Sociology DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-sociology-pt,Department of Sociology,        Part time  ,        6-8 years  
Sociology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-sociology,Department of Sociology,        Full time  ,        1 year  
Sociology MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-sociology-pt,Department of Sociology,        Part time  ,        2 years  
Sociology and Demography MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-sociology-demography,Department of Sociology,        Full time  ,        21 months  
Software and Systems Security MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-software-and-systems-security,Department of Computer Science,        Part time  ,        2-4 years  
Software Engineering MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-software-engineering,Department of Computer Science,        Part time  ,        2-4 years  
Statistical Science MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-statistical-science,Department of Statistics,        Full time  ,        1 year  
Statistical Science PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-statistical-science,Department of Statistics,        Full time  ,        9 months  
Statistics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-statistics,Department of Statistics,        Full time  ,        3-4 years  
Statistics MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-statistics,Department of Statistics,        Full time  ,        2-3 years  
Statistics and Epidemiology PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-statistics-epidemiology,Nuffield Department of Population Health,        Part time  ,        7 months  
Strategy and Innovation PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-strategy-and-innovation,Saïd Business School,        Part time  ,        1 year  
Study of Religions MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-study-religions,Faculty of Theology and Religion,        Full time  ,        9 months  
Surgical Science and Practice MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-surgical-science-and-practice,"Department for Continuing Education, Nuffield Department of Surgical Sciences",        Part time  ,        2-4 years  
Surgical Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-surgical-sciences,Nuffield Department of Surgical Sciences,        Full time  ,        3-4 years  
Surgical Sciences MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-surgical-sciences,Nuffield Department of Surgical Sciences,        Full time  ,        1-3 years  
"Sustainability, Enterprise and the Environment MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-sustainability-enterprise-environment,School of Geography and the Environment,        Full time  ,        1 year  
Sustainable Approaches to Biomedical Science: Responsible and Reproducible Research EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/sustainable-approaches-biomedical-science,MPLS Doctoral Training Centre,        Full time  ,        4 years  
Sustainable Urban Development DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-sustainable-urban-development,Department for Continuing Education,        Part time  ,        4-8 years  
Sustainable Urban Development MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-sustainable-urban-development,Department for Continuing Education,        Part time  ,        2 years  
Synthesis for Biology and Medicine CDT,https://www.ox.ac.uk/admissions/graduate/courses/synthesis-biology-and-medicine,Department of Chemistry,        Full time  ,        4 years  
Syriac Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-syriac-studies,Faculty of Oriental Studies,        Full time  ,        9 months  
Taxation MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-taxation,Faculty of Law,        Part time  ,        2 years  
Teacher Education MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-teacher-education,Department of Education,        Part time  ,        2 years  
Teaching and Learning in Higher Education PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-teaching-learning-in-higher-education,Centre for Teaching and Learning,        Part time  ,        1 year  
Teaching Evidence-Based Health Care PGCert,https://www.ox.ac.uk/admissions/graduate/courses/pgcert-teaching-evidence-based-health,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        1-2 years  
Theology BTh,https://www.ox.ac.uk/admissions/graduate/courses/bth-theology,Faculty of Theology and Religion,        Full time  ,        Contact department  
Theology BTh,https://www.ox.ac.uk/admissions/graduate/courses/bth-theology-pt,Faculty of Theology and Religion,        Part time  ,        Contact department  
Theology MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-theology,Faculty of Theology and Religion,        Full time  ,        21 months  
Theology MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-theology,Faculty of Theology and Religion,        Full time  ,        9 months  
Theology and Religion DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-theology-and-religion,Faculty of Theology and Religion,        Full time  ,        3 years  
Theology and Religion DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-theology-and-religion-pt,Faculty of Theology and Religion,        Part time  ,        6 years  
Theology and Religion PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-theology-and-religion,Faculty of Theology and Religion,        Full time  ,        9 months  
Theology and Religion PGDip,https://www.ox.ac.uk/admissions/graduate/courses/pgdip-theology-and-religion-pt,Faculty of Theology and Religion,        Part time  ,        21 months  
Theoretical and Computational Chemistry MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-theoretical-and-computational-chemistry-stand-alone,Department of Chemistry,        Full time  ,        10 months  
Theoretical Physics DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-theoretical-physics,Department of Physics,        Full time  ,        3-4 years  
Tibetan and Himalayan Studies MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-tibetan-and-himalayan-studies,Faculty of Oriental Studies,        Full time  ,        21 months  
Traditional China MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-traditional-china,Faculty of Oriental Studies,        Full time  ,        9 months  
Traditional East Asia MPhil,https://www.ox.ac.uk/admissions/graduate/courses/mphil-traditional-east-asia,Faculty of Oriental Studies,        Full time  ,        21 months  
Translational Health Sciences DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-translational-health-sciences,Nuffield Department of Primary Care Health Sciences,        Full time  ,        3-4 years  
Translational Health Sciences MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-translational-health-sciences,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Full time  ,        1 year  
Translational Health Sciences MSc,https://www.ox.ac.uk/admissions/graduate/courses/msc-translational-health-sciences-pt,"Department for Continuing Education, Nuffield Department of Primary Care Health Sciences",        Part time  ,        2-4 years  
"Visual, Material and Museum Anthropology MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-visual-material-and-museum-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        21 months  
"Visual, Material and Museum Anthropology MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-visual-material-and-museum-anthropology,School of Anthropology and Museum Ethnography,        Full time  ,        1 year  
"Water Science, Policy and Management MPhil",https://www.ox.ac.uk/admissions/graduate/courses/mphil-water-science-policy-and-management,School of Geography and the Environment,        Full time  ,        2 years  
"Water Science, Policy and Management MSc",https://www.ox.ac.uk/admissions/graduate/courses/msc-water-science-policy-and-management,School of Geography and the Environment,        Full time  ,        1 year  
Wind and Marine Energy Systems and Structures (DEng) EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/deng-wind-marine-energy-systems-structures,Department of Engineering Science,        Full time  ,        4 years  
Wind and Marine Energy Systems and Structures (DPhil) EPSRC CDT,https://www.ox.ac.uk/admissions/graduate/courses/dphil-wind-marine-energy-systems-structures,Department of Engineering Science,        Full time  ,        4 years  
Women's and Reproductive Health DPhil,https://www.ox.ac.uk/admissions/graduate/courses/dphil-womens-and-reproductive-health,Nuffield Department of Women's & Reproductive Health,        Full time  ,        3-4 years  
Women's and Reproductive Health MSc by Research,https://www.ox.ac.uk/admissions/graduate/courses/msc-research-womens-and-reproductive-health,Nuffield Department of Women's & Reproductive Health,        Full time  ,        1-3 years  
"Women's, Gender, and Sexuality Studies MSt",https://www.ox.ac.uk/admissions/graduate/courses/mst-womens-gender-sexuality-studies,Humanities Interdisciplinary Courses,        Full time  ,        9 months  
World Literatures in English MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-world-literatures-english,Faculty of English Language and Literature,        Full time  ,        9 months  
Yiddish Studies MSt,https://www.ox.ac.uk/admissions/graduate/courses/mst-yiddish-studies,Faculty of Medieval and Modern Languages,        Full time  ,        9 months  